particles,CudaDefault ,CudaManaged 
160,270.48,291.03
320,563.97,578.44
640,1073.89,1050.67
960,1467.55,1499.14
1280,1904.49,1995.86
1600,2436.80,2321.15
1920,2829.00,2969.92
2240,3244.60,3368.89
2560,3702.52,3647.08
2880,3944.33,4135.81
