particles,CudaDefault ,PoolAllocation,CudaManaged ,CudaManagedPool 
160,9.345,10.243,8.701,9.286
320,16.187,18.319,19.138,15.958
640,32.584,,36.038,35.598
960,52.997,,55.496,57.032
1280,,,8504.12,13069.2
1600,,,13592.3,17737.8
1920,,,14389.6,24735.3
